"pmid","plan_id","plan_master_id","plan_version","plan_state","plan_time","plan_strategy_src","plan_reward","match_id","match_time","match_league_id","match_league","match_home_id","match_home_name","match_away_id","match_away_name","match_home_score","match_away_score","r_result","r_choice","r_ac_result","r_choice_type","bet_options_1","bet_options_X","bet_options_2","bet_handicap_id","bet_handicap"
"447726","366736","-1","460","3","2019-12-19 01:00:00","model_odds_4","-1.0000","225282","2019-12-19 01:00:00","39","西班牙杯","2086","美利拉","1377","UCAM穆西亚","1","2","0","1","0","1","2.2500","3.0000","3.0000","0",""
"447727","366737","-1","460","4","2019-12-19 02:00:00","model_odds_4","0.0000","225283","2019-12-19 02:00:00","39","西班牙杯","2078","庞特贝德拉","3697","UD伊比萨","0","0","-1","1","","1","2.1000","3.3000","3.0000","0",""
"447728","366738","-1","460","3","2019-12-19 03:00:00","model_odds_4","2.0000","225284","2019-12-19 03:00:00","39","西班牙杯","2053","施斯达奥","1362","卢高","1","1","1","1","1","1","3.0000","3.0000","2.2500","0",""
"447729","366739","-1","460","3","2019-12-19 03:15:00","model_odds_4","2.2500","225285","2019-12-19 03:15:00","39","西班牙杯","2060","巴拉卡度","3698","维拉鲁比亚","0","0","1","1","1","1","2.1000","3.2500","3.0000","0",""
"447730","366740","-1","460","3","2019-12-20 03:30:00","model_odds_4","2.4000","225293","2019-12-20 03:30:00","39","西班牙杯","1372","塔拉戈纳","2082","奥洛特","1","1","1","1","1","1","2.2500","3.4000","2.8000","0",""
"447731","366741","-1","460","3","2019-12-20 03:00:00","model_odds_2","2.3000","225295","2019-12-20 03:00:00","39","西班牙杯","1359","利亚戈斯特拉","3704","哈罗拉科鲁尼亚","0","0","1","1","1","1","1.9500","3.3000","3.6000","0",""
"447732","366742","-1","460","3","2019-12-20 03:00:00","model_odds_2","-1.0000","225296","2019-12-20 03:00:00","39","西班牙杯","1385","瑞欧马加达宏达","2066","费罗尔竞技","1","0","0","1","0","1","1.8500","3.4000","3.7500","0",""
"447733","366743","-1","460","3","2019-12-20 02:00:00","model_odds_4","-1.0000","225297","2019-12-20 02:00:00","39","西班牙杯","2049","亚摩勒比塔","3705","巴达祖斯","0","1","0","1","0","1","2.0500","3.5000","3.1000","0",""
"447734","366744","-1","460","3","2019-12-20 02:00:00","model_odds_4","2.2000","225298","2019-12-20 02:00:00","39","西班牙杯","3706","彭拿迪坡缇瓦","1365","邦弗拉甸拿","0","0","1","1","1","1","2.7000","3.2000","2.4000","0",""
"447735","366745","-1","460","3","2019-12-07 03:00:00","model_odds_2","3.0000","217209","2019-12-07 03:00:00","65","荷乙","1490","马斯特里赫特","1495","乌德勒支青年队","1","1","1","1","1","1","1.8500","4.0000","3.6000","0",""
"447736","366746","-1","460","3","2019-12-14 03:00:00","model_odds_2","3.2000","217222","2019-12-14 03:00:00","65","荷乙","953","罗达JC","1494","阿尔克马尔青年队","2","2","1","1","1","1","1.7000","4.2000","4.2000","0",""
"447737","366747","-1","460","3","2019-12-01 20:30:00","model_odds_8","-1.0000","219357","2019-12-01 20:30:00","38","德乙","68","达姆斯塔特","1145","比勒菲尔德","1","3","0","1","0","1","3.5000","3.6000","2.0000","0",""
"447738","366748","-1","460","3","2019-12-01 20:30:00","model_odds_2","-1.0000","219358","2019-12-01 20:30:00","38","德乙","1147","海登海默","518","菲尔特","1","0","0","1","0","1","1.9500","3.5000","3.7500","0",""
