"id","league_name_en","league_name_cn","league_flag","type","dqd_id","whoscored_id","enable"
"1","Premier League","英超","PL","1","4","","1"
"2","Serie A","意甲","SA","1","9","","1"
"3","La Liga/Primera Division","西甲","LL","1","3","","1"
"4","Bundesliga","德甲","BL","1","5","","1"
"5","Ligue 1","法甲","L1","1","12","","1"
"6","Primeira Liga","葡超","PLi","1","52","","1"
"7","Champions League","欧冠","CL","1","6","","1"
"8","European Football Championship","欧洲杯","EFC","2","","","0"
"9","Europa League","欧洲联赛","EL","2","14","","1"
"10","WC Qualification, UEFA 2018","世欧预","WQUEFA","2","","","0"
"11","Chinese Super League ","中超","CSL","1","43","","1"
"12","WC Qualification AFC","世亚预","WQAFC","2","","","0"
"13","AFC Champions League","亚冠杯","ACL","2","226","","1"
"14","WC Qualification","世界杯预选赛","WQ","2","","","0"
"15","WC Qual, CONMEBOL","世南美预","WQCONMEBOL","2","","","0"
"16","WC Qual, CONCACAF","世北美预","WQCONCACAF","2","","","0"
"17","K-LEAGUE","K联赛","KL","1","117","","1"
"18","MAJOR LEAGUE SOCCER","美职联","MLS","1","26","","1"
"19","World Cup","世界杯","WC","2","","","0"
"20","GER German Cup","德国杯","GERC","2","92","","1"
"21","ESP La Liga Segunda","西乙 ","ESPS","1","8","","1"
"22","ITA Coppa Italia","意大利杯","ITAC","2","116","","1"
"23","ITA Serie B","意乙","ITASB","1","10","","1"
"24","AUS A-League","澳甲","AUSA","1","257","","1"
"26","JAP J-2-league","J2","J2","1","98","","1"
"27","JAP J-1 League","J1","J1","1","97","","1"
"28","PAR Primera Division","巴拉圭甲级联赛","PARP","1","","","0"
"29","CHI Primera","智利甲级联赛","CHIP","1","","","0"
"30","SWI Super League","瑞典超","SWIS","1","21","","1"
"31","FRA Division 2","法乙","FRAD2","1","13","","1"
"32","POR Segunda Liga","葡甲","PORS","1","","","0"
"33","ISR Premier League","以超","ISRP","1","","","0"
"34","BEL Jupiler","比甲","BELJ","1","17","","1"
"35","AUT Bundesliga","奥地利甲","AUTB","1","","","0"
"36","CO Premier","苏超","COP","1","36","","1"
"37","FRA French Cup","法国杯","FRAC","2","158","","1"
"38","GER Bundesliga 2","德乙","DEYI","1","7","","1"
"39","ESP Copa Del Rey","西班牙杯","ESPC","2","119","","1"
"40","ENG EFL Cup","英格兰联赛杯","ENGEFLC","2","","","0"
"41","ENG FA Cup","英格兰足总杯","ENGFACup","2","82","","1"
"42","ENG League Championship","英格兰冠军联赛","ENGLC","1","59","","1"
"43","TUR Super Lig ","土超","TURS","1","15","","1"
"44","GRE Super League","希腊超","GRES","1","","","0"
"45","ROM Divizia A ","罗马利亚甲级联赛","ROMA ","1","","","0"
"46","UKR Vyscha Liga","乌克超","UKRV","1","","","0"
"47","CZE Gambrinus Liga","捷克甲","CZEG","1","","","0"
"48","POL Ekstraklasa","波兰甲","POLE","1","","","0"
"49","IRE First Division","爱甲","IREF","1","","","0"
"50","ICE League Cup","冰联杯","ICEC","2","","","0"
